               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,             0.03208,            0.039148,                   0,             0.91639,             0.92294,             0.95811,              0.4945,            0.038375,            0.043568,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.032971,            0.037358,                   0,             0.91661,             0.92565,             0.95698,             0.55499,            0.033602,            0.042881,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.032246,            0.039241,                   0,             0.91655,             0.92496,             0.95759,             0.55878,            0.033997,            0.042458,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.033184,             0.03939,                   0,             0.92618,              0.9245,             0.95779,             0.53889,            0.035535,            0.042927,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.031871,            0.038415,                   0,             0.90714,             0.92543,             0.95596,             0.56141,            0.033692,            0.042549,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.031208,            0.040393,                   0,             0.89725,             0.92632,             0.95938,             0.55537,             0.03413,            0.042416,                   0,            0.002278,            0.002278,            0.002278
                  80,             0.03192,            0.041796,                   0,             0.90223,             0.92632,             0.96192,             0.59057,            0.032312,            0.042019,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.030785,            0.037042,                   0,             0.89936,             0.94072,             0.95905,             0.53795,            0.035788,            0.042618,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.031122,            0.038302,                   0,              0.9158,             0.93684,             0.96317,             0.57223,            0.033161,            0.042015,                   0,            0.001981,            0.001981,            0.001981
                  83,             0.03058,            0.037283,                   0,             0.89038,             0.94055,             0.96068,             0.56746,            0.033461,            0.041927,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.031002,            0.040182,                   0,             0.90708,             0.93684,             0.96183,             0.59751,            0.031673,            0.041595,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.031412,            0.039222,                   0,             0.89916,             0.90526,             0.96037,             0.56556,            0.034099,            0.042023,                   0,            0.001684,            0.001684,            0.001684
